cycle,data_in_a,valid_in_a,data_out_b,valid_out_b
78,0x5280,1,0x9588,1
79,0x0AD8,1,0x06A9,1
80,0x7DF2,1,,0
81,0xD3FE,1,,0
82,0xF336,1,0xCBB6,1
83,0x264D,1,0x4D23,1
84,0x6A21,1,0xB058,1
85,0x3349,1,0x41D8,1
86,0x18BE,1,0xF2B7,1
87,0x6E4F,1,0xB279,1
88,0xC04C,1,0x1E90,1
89,0xDED0,1,0x8343,1
90,0x44A9,1,0x2CB0,1
91,0x4C2D,1,0x9D7C,1
92,,0,0x4A92,1
93,0xBAC6,1,0x7989,1
94,0x1A31,1,0xC18E,1
95,0xE20A,1,0x6832,1
96,,0,0x0412,1
97,0xE5E4,1,0x5831,1
98,0xB3B2,1,0x15FE,1
99,0x4D07,1,,0
100,0x9883,1,0xCC2F,1
101,0xC178,1,0xF5C7,1
102,0xBA1A,1,0xB200,1
103,,0,0xB0D6,1
104,0x0652,1,0x91EF,1
105,0x713C,1,0xED37,1
106,0x77C3,1,,0
107,,0,0xACE6,1
108,0x8729,1,0xFA26,1
109,0x5A00,1,0x1F36,1
110,,0,,0
111,0x8C1B,1,0x0F3E,1
112,0xC37E,1,0x450D,1
113,0x2532,1,,0
114,,0,0x2FC0,1
115,0xC02E,1,0xC5E3,1
116,0xE252,1,0x096E,1
117,0x814A,1,,0
118,0xC80E,1,0xE741,1
119,0x2E14,1,0x32A7,1
120,0x794A,1,0xF768,1
121,0x589D,1,0x6B99,1
122,,0,0x1F35,1
123,0x75E9,1,0x8A11,1
124,0xD314,1,0x661E,1
125,0xB47A,1,,0
126,0x094B,1,0xC944,1
127,,0,0xDE40,1
128,0xA614,1,0x60C3,1
129,0xDD05,1,0x41C5,1
130,0x9380,1,0xAA73,1
131,0x304A,1,0x4F3A,1
132,0x27FC,1,0x68C2,1
133,0x2F8A,1,0x487A,1
134,0x62C2,1,0x9A33,1
135,0x4D72,1,0xAE1A,1
136,0x25CE,1,0x2F84,1
137,0x0DBE,1,0xEC1E,1
138,0xAB0C,1,0xA8A2,1
139,0x8EB9,1,0xD801,1
140,0xB469,1,0x63A2,1
141,,0,0x334B,1
142,0x7267,1,0x1E57,1
143,0x8FBC,1,0xC6CD,1
144,0x4499,1,0xAF8D,1
145,0x9F87,1,0x83A0,1
146,0xCCA1,1,0x459C,1
147,0xAC78,1,0x81EF,1
148,,0,0xDEA8,1
149,,0,0xB1B9,1
150,0x9FA6,1,0xF9AA,1
151,,0,0x63B4,1
152,,0,,0
153,0xD01C,1,0x11E6,1
154,0x8A58,1,,0
155,,0,,0
156,0x6FC8,1,0x0D44,1
157,0xE884,1,0x1D41,1
158,0x6558,1,0x4FB3,1
159,,0,0x018F,1
160,0x5ACD,1,0x82ED,1
161,0xB78A,1,0xD8E0,1
162,0x56F8,1,,0
163,0x6576,1,0x3201,1
164,0x9FB4,1,0xB544,1
165,0xB27F,1,0x46B6,1
166,0xA5B3,1,0x55F2,1
167,0x4171,1,0xD0F9,1
168,0x5243,1,0x3150,1
169,0x087B,1,0xF85D,1
170,,0,0x6E5E,1
171,0x65E2,1,0xA80E,1
172,,0,0x7A2A,1
173,0xC9AE,1,,0
174,,0,0x751C,1
175,,0,,0
176,0x51FC,1,0x3A39,1
177,0x7A72,1,,0
178,0x0FBD,1,,0
179,0xEEDA,1,,0
180,0xBB7C,1,0xF757,1
181,,0,0x8D7F,1
182,0x981D,1,0x872A,1
183,0xF085,1,0x65C3,1
184,,0,,0
185,,0,0x5EAA,1
186,,0,0xA894,1
187,,0,,0
188,,0,,0
189,0x69B8,1,,0
190,0xCF11,1,,0
191,0x2B56,1,,0
192,0xC931,1,0x364C,1
193,,0,0xA039,1
194,0xEF25,1,0xFABB,1
195,0x445C,1,0x2594,1
196,,0,,0
197,,0,0xF17C,1
198,0xCB25,1,0x3CBB,1
199,0xF3A7,1,,0
200,0xD4C5,1,,0
201,,0,0xA643,1
202,,0,0x34D4,1
203,,0,0xC19D,1
204,0xFC53,1,,0
205,,0,,0
206,0x4D00,1,,0
207,0xDE66,1,,0
208,0xC2AD,1,,0
209,,0,0xA021,1
210,0x6A49,1,0x3336,1
211,0x6B5F,1,0xDBDD,1
212,0xEECF,1,,0
213,0x52AA,1,0x453F,1
214,0x1EFE,1,0x95B9,1
215,,0,0x95A8,1
216,0xA95C,1,0xBD70,1
217,0xE5F0,1,0x4425,1
218,0xA785,1,,0
219,0x0733,1,0xCAB0,1
220,0x420D,1,0x4014,1
221,,0,0xC7C4,1
222,,0,0xA199,1
223,0x4BC6,1,0x0ACB,1
224,0xD45A,1,,0
225,,0,,0
226,,0,0xD281,1
227,0xB391,1,0xC41B,1
228,0x8879,1,0x609B,1
229,,0,,0
230,0xADA7,1,0x88D8,1
231,0xA842,1,0xCD5A,1
232,0xB20D,1,,0
233,,0,0x775F,1
234,0x28EC,1,0x9D92,1
235,0x05C8,1,0xB203,1
236,0x2E97,1,,0
237,0x1F77,1,0xB855,1
238,0x5A5A,1,0x1D01,1
239,0x2C19,1,0x7B0D,1
240,0x6581,1,0x8767,1
241,,0,0x1D7A,1
242,0xD03D,1,0x19F2,1
243,0xC228,1,0xDD0A,1
244,0xFEB5,1,,0
245,0xD756,1,0x9014,1
246,0xBA73,1,0x2984,1
247,,0,0x571C,1
248,,0,0x4DC3,1
249,,0,0xD5C3,1
250,0xF3D5,1,,0
251,0xE274,1,,0
252,,0,,0
253,0x218C,1,0x8487,1
254,0xA9C3,1,0x0840,1
255,0xB6AD,1,,0
256,0x4E32,1,,0
257,0x333D,1,0xA662,1
258,,0,0xA8C7,1
259,,0,0x83A1,1
260,0x7430,1,0xF83D,1
261,0x6D53,1,,0
262,0x4AE4,1,,0
263,0xF2F0,1,,0
264,0xF823,1,0xECBE,1
265,,0,0x9810,1
266,,0,0x109C,1
267,0xD349,1,0x85FD,1
268,0x741E,1,,0
269,0xCEAD,1,,0
270,,0,,0
271,0x6A5F,1,0x0E9D,1
272,0x987F,1,0x93F9,1
273,,0,,0
274,0xB7E9,1,0xE4B8,1
275,0xDAA9,1,0x1433,1
276,0xA96D,1,,0
277,0x9F84,1,,0
278,,0,0x6114,1
279,0xD896,1,0x960A,1
280,0x7154,1,0x0A00,1
281,,0,,0
282,0xD7F5,1,0xFE5B,1
283,0x0A13,1,0xAEF5,1
284,,0,0xB6C2,1
285,0x3066,1,0xFE78,1
286,0x4321,1,0x932C,1
287,0xE6F9,1,,0
288,0x96C7,1,0x6F79,1
289,0xD4D0,1,0x4EC9,1
290,0x6C61,1,0x3F0A,1
291,0xE92A,1,0x1B7F,1
292,0x4A92,1,0x1DF5,1
293,0x549F,1,0x0C48,1
294,,0,0x6750,1
295,,0,0x174A,1
296,0xA3B6,1,0x1659,1
297,,0,,0
298,,0,,0
299,,0,0xE7A9,1
300,0x918C,1,,0
301,0xB1C1,1,,0
302,0x3F67,1,,0
303,0xCA14,1,0xF69C,1
304,0x84EE,1,0x034E,1
305,,0,0x6BAC,1
306,0x83C1,1,0x051B,1
307,0xCCA2,1,0x5CE6,1
308,0xDE5F,1,,0
309,,0,0x5582,1
310,0x0F49,1,0xF902,1
311,0x4E92,1,0x7E38,1
312,0xA649,1,0xA719,1
313,0xA289,1,0x2CD2,1
314,0x8626,1,0x09C8,1
315,0x9D9F,1,0xCDFE,1
316,,0,0x9928,1
317,,0,0x3AAF,1
318,0x675E,1,0x2DFB,1
319,0xE39A,1,0xA463,1
320,0x0D48,1,,0
321,,0,0x95C7,1
322,0x7228,1,0x8407,1
323,0x7464,1,0x0675,1
324,0xD163,1,,0
325,0x5C8F,1,0xB892,1
326,0x0219,1,0xD420,1
327,0xFF75,1,0x3E39,1
328,0xC3D0,1,0xF02A,1
329,0x83F2,1,0xFBB2,1
330,0x4C64,1,0xDADF,1
331,0xF053,1,0x1409,1
332,,0,0x7EE9,1
333,0x68A2,1,0x5684,1
334,0x9894,1,0x291E,1
335,0x586D,1,,0
336,,0,0xBB41,1
337,0x745C,1,0x9CA6,1
338,,0,0x7A81,1
339,0x50DD,1,,0
340,0xBBD6,1,,0
341,0x1613,1,,0
342,,0,0xEB52,1
343,0x761A,1,0xBD03,1
344,0x7362,1,0x8D87,1
345,0x8D93,1,,0
346,0x1991,1,0x68FA,1
347,0x8D6C,1,0xDCBF,1
348,,0,0x2350,1
349,0x3406,1,0xFD8D,1
350,0xE058,1,0x9386,1
351,0x92ED,1,,0
352,0x2708,1,0xDBAE,1
353,,0,0x09D1,1
354,0x2E41,1,0xB1D8,1
355,,0,0x4358,1
356,0x5577,1,,0
357,0xDB00,1,0x6B05,1
358,0x4F08,1,,0
359,0x8A60,1,0xDC67,1
360,,0,0x9338,1
361,0x7F99,1,0xAD9B,1
362,0xD8B4,1,0x3636,1
363,,0,,0
364,0xE15E,1,0x5427,1
365,,0,0xD57E,1
366,0x6889,1,,0
367,0x609B,1,0x945D,1
368,,0,0x63E4,1
369,0x15FE,1,0xE42B,1
370,0xF33C,1,0x3267,1
371,,0,,0
372,0x5A04,1,0xEBCB,1
373,0xCBAE,1,0xC312,1
374,0x6331,1,,0
375,0xFB04,1,,0
376,,0,0x8FB9,1
377,0xE132,1,0x696B,1
378,0xBE0E,1,0xD062,1
379,0x6C09,1,,0
380,0x97D3,1,0x161D,1
381,0x78B6,1,0x7B7A,1
382,0xE1F0,1,0x5350,1
383,0xFD99,1,0x64B2,1
384,0x10B5,1,0xECD2,1
385,,0,0xB753,1
386,,0,0x99A5,1
387,,0,0x934E,1
388,0xE600,1,,0
389,0xA9BF,1,,0
390,,0,,0
391,0x1294,1,0x83F3,1
392,0x32BA,1,0x19DC,1
393,0xAFE8,1,,0
394,0x5393,1,0xBD15,1
395,,0,0x665C,1
396,0xC4BF,1,0xE0A3,1
397,,0,0x9689,1
398,0x774F,1,,0
399,0xE7BC,1,0x597D,1
400,0xCD0C,1,,0
401,0xAADA,1,0xFEDE,1
402,0xCCD0,1,0xC237,1
403,0x6679,1,0xAE5E,1
404,0x9326,1,0x7478,1
405,,0,0x95C8,1
406,,0,0xD09D,1
407,,0,0xD747,1
408,,0,,0
409,0x9097,1,,0
410,,0,,0
411,0x3B7A,1,,0
412,0x12E8,1,0x7366,1
413,,0,,0
414,,0,0x3ADC,1
415,0xDAE3,1,0xD8D3,1
416,0x8208,1,,0
417,0xD0D0,1,,0
418,0x1904,1,0xBE56,1
419,0xEF18,1,0xAE0C,1
420,,0,0x4ADA,1
421,,0,0xC543,1
422,,0,0x22FB,1
423,,0,,0
424,,0,,0
425,,0,,0
426,0x928F,1,,0
427,0xB013,1,,0
428,0x91A3,1,,0
429,0xB345,1,0x8C71,1
430,,0,0x1161,1
431,0xCB21,1,0xDBFB,1
432,0xDE52,1,0x67C3,1
433,0xFCA2,1,,0
434,,0,0x1A92,1
435,0x8C62,1,0xE47C,1
436,0x7C9F,1,0xE90D,1
437,0x229D,1,,0
438,0xFA2C,1,,0
439,0x57AE,1,0x182F,1
440,,0,0xBEBB,1
441,0x01F1,1,0x6F3B,1
442,0xFE1F,1,0x46D9,1
443,0x13BA,1,,0
444,0x2A62,1,0xB597,1
445,0x4C1A,1,0x84D7,1
446,0xE450,1,0x0BBD,1
447,,0,0x7764,1
448,0xA61D,1,0x22C1,1
449,0x9E1B,1,0x5924,1
450,0x8FEE,1,,0
451,0x77CC,1,0x30BB,1
452,,0,0xD96A,1
453,0xB3AB,1,0x58F2,1
454,0xC0AB,1,0x8239,1
455,0x970E,1,,0
456,0xF77B,1,0xB78D,1
457,0xE9D2,1,0xDEC3,1
458,0x5EFC,1,0x13B2,1
459,0xE579,1,0x1619,1
460,0xE8E9,1,0x9520,1
461,0x3A73,1,0xD4AA,1
462,,0,0xC09A,1
463,,0,0x4BED,1
464,0xA781,1,0xFCA3,1
465,0x4FF8,1,,0
466,0x6C13,1,,0
467,0xD4B0,1,0x1833,1
468,,0,0x26E3,1
469,0x1A8A,1,0x892D,1
470,,0,0xF1FA,1
471,0x76D4,1,,0
472,,0,0xF18A,1
473,0x5D63,1,0xE940,1
474,,0,0xFD1F,1
475,0x5F3C,1,,0
476,,0,0x8856,1
477,0x8B66,1,,0
478,0xDDD9,1,0x416E,1
479,,0,,0
480,,0,,0
481,,0,0x0D86,1
482,0x6644,1,,0
483,,0,,0
484,0xB8E2,1,,0
485,,0,0x96B1,1
486,0xAA51,1,,0
487,,0,,0
488,0x15E4,1,,0
489,0xD6A0,1,0xC22E,1
490,0x525B,1,,0
491,0xCD45,1,0x703A,1
492,0xB737,1,0x499F,1
493,0x6E5D,1,0x9E6B,1
494,0xBC0B,1,0x0338,1
495,0x80B0,1,0xF09D,1
496,0x3371,1,0xF510,1
497,0x0126,1,0xF4BF,1
498,0x3FB8,1,0xF378,1
499,,0,0xF48C,1
500,,,0x7062,1
501,,,0x2AAB,1
502,,,,0
503,,,,0
504,,,,0
505,,,,0
506,,,,0
507,,,,0
508,,,,0
509,,,,0
510,,,,0
511,,,,0
512,,,,0
513,,,,0
514,,,,0
515,,,,0
516,,,,0
517,,,,0
518,,,,0
519,,,,0
520,,,,0
521,,,,0
522,,,,0
523,,,,0
524,,,,0
525,,,,0
526,,,,0
527,,,,0
528,,,,0
529,,,,0
530,,,,0
531,,,,0
532,,,,0
533,,,,0
534,,,,0
535,,,,0
536,,,,0
537,,,,0
538,,,,0
539,,,,0
540,,,,0
541,,,,0
542,,,,0
543,,,,0
544,,,,0
545,,,,0
546,,,,0
547,,,,0
548,,,,0
549,,,,0
